//ID	µØÍ¼±àºÅ	»»ËãºóX×ø±ê	»»ËãºóY×ø±ê	»»ËãºóZ×ø±ê
a01	a01	366.544	238.659	-10.751
a02	a02	1672.963	244.077	1932.442
a05	a05	32.171	218.783	4517.631
a06	a06	-293.351	301.508	711.519
a07	a07	-1177.922	298.01	-1027.744
a08	a08	1672.963	244.077	1932.442
a09	a09	-2778.258	299.99	89.014
a10	a10	-812.031	530.681	254.381
a11	a11	426.921	248.899	-1415.44
a12	a12	2807.491	257.392	-856.728
a13	a13	-2591.581	224.853	1902.705
a14	a14	1898.076	218.981	-1031.137
a15	a15	2746	224	-1883
a16	a16	-2378.853	255.592	4428.397
a17	a17	-2875.793	226.93	2077.162
a18	a18	2167.271	153.307	-2393.678
a19	a19	2746	224	-1883
a20	a20	2922.343	229.178	3487.432
a21	a21	-2778.454	382.378	3082.139
a22	a22	-2779.992	381.015	3108.936
a23	a23	-2778.454	382.378	3082.139
a24	a24	-2779.992	381.015	3108.936
a25	a25	-2778.454	382.378	3082.139
a26	a26	-2779.992	381.015	3108.936
a27	a27	449.402	570.432	-876.22
a28	a28	-2692	379	3073
a28	a28	1715	219	963
a28	a28	2616	263	-1745
a29	a29	-2833.54	246.537	4181.338
a31	a31	-2698.935	400.356	1190.42
a33	a33	1528.728	276.771	1030.316
16	world	145.26	223.6	2895.67
986	world	-2078.13	529.98	936.25
986	world	-2465.21	523.32	984.27
986	world	-3026	523.98	854.61
986	world	-2739.4	481.74	1295.76
986	world	-2246.2	423.35	1385.58
989	world	608.04	224.79	-82.21
994	a02	-7.01	218.8	-20.8
997	world	-2149.48	444.01	1229.63
997	world	-1821.42	521.74	1325.33
998	world	-2149.48	444.01	1229.63
998	world	-1821.42	521.74	1325.33
1000	world	-1534.13	256.55	771.08
1000	world	-1447.94	236.01	1428.12
1001	world	-331.95	228.81	-860.22
1002	world	157.17	242.62	3225.99
1002	world	338.63	231.45	2914.46
1003	world	-1534.13	256.55	771.08
1003	world	-1581.47	272.14	1332.92
1003	world	-1280.42	241.56	1266.3
1004	world	-509.48	220.3	-1155.18
1004	world	-386.69	224.66	-790.09
1004	world	-85.07	259.8	-904.48
